,Pais_x,Poblacion,total_gdp_million,ECI,año_x,Ecuador
427,El Salvador,6185642.0,21990.96,-0.2542257212,2013,1
428,El Salvador,6035655.0,13724.8109,-0.4433232664,2004,1
429,El Salvador,6137349.0,20283.78,-0.3493180494,2011,1
430,El Salvador,6114034.0,18447.92,-0.3696930642,2010,1
431,El Salvador,6091188.0,17601.62,-0.3351898872,2009,1
432,El Salvador,6068099.0,17986.89,-0.2869299603,2008,1
433,El Salvador,6044131.0,17011.75,-0.2958333964,2007,1
434,El Salvador,6034436.0,15999.89,-0.405903244,2006,1
435,El Salvador,6037817.0,14698.0,-0.4433944971,2005,1
436,El Salvador,5988095.0,12282.5336,-0.3685219765,2001,1
437,El Salvador,6161289.0,21386.15,-0.3456865235,2012,1
438,El Salvador,5958482.0,11784.9277,-0.2816644662,2000,1
