1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Country,Country ID
-1.071612938,-0.981790162,-1.298638712,-0.81911646,-0.93993179,-0.983238596,-0.754721352,-0.873961772,-0.781124364,-0.870884288,-1.019450458,-0.988555013,-0.583860917,-0.120704883,-0.282458165,-1.086265668,-1.54117861,-1.347731909,-0.959480785,-0.883072859,-1.28109261,-1.427132979,-1.410140374,-1.18002406,Libia,aflby
0.042817487,0.100405508,0.078707307,0.059316006,0.010096784,-0.018505685,0.060656403,0.188161664,0.323209958,0.497969015,0.565700489,0.559089192,0.503965115,0.54129235,0.647068036,0.697876532,0.74849941,0.727423005,0.760885649,0.786152874,0.853912637,0.900160441,0.90574606,0.914731324,Lituania,eultu
-0.161156203,,-0.053832744,,,,-0.340099813,-0.365267719,-0.312133027,-0.218029598,-0.210799101,-0.161468288,-0.238405607,-0.241972436,-0.263360509,-0.169354183,-0.143241684,-0.208294945,-0.243884308,-0.150226352,-0.068876912,0.050965551,0.019579951,0.198160594,Macedonia del Norte,eumkd
,,,,,,,,,,,,,,,-1.124634075,-1.167435584,-1.225037751,-1.333060401,-1.256287344,-1.275340864,-1.237771578,-1.221644261,-1.065484673,Madagascar,afmdg
-0.246845506,-0.056669759,0.065336114,0.29330271,0.465422796,0.511453404,0.678145241,0.603355981,0.680742887,0.777960526,0.842842307,0.829832916,0.84085264,0.942022582,1.01378309,1.079430986,1.025144011,0.959412404,1.001504069,1.022722115,1.020044514,1.018391496,1.033013922,1.087485482,Malasia,asmys
,,,,,,,,,,,,,,,-0.915243738,,,,,,,,,Malawi,afmwi
,,,,,,,,,,-0.63478586,,,-0.760833876,-0.704861444,-0.734561646,-0.876146899,-1.234006324,-1.037010764,-0.837218196,-0.78063071,-0.869326176,-1.066597948,-1.533550722,Malí,afmli
-1.131009379,-0.929720425,-0.791264366,-0.830761881,-0.897830743,-0.931869173,-0.82004476,-0.873811518,-0.775016962,-0.67982459,-0.65932997,-0.640798309,-0.655484409,-0.690371217,-0.699302803,-0.701407911,-0.616443677,-0.71143227,-0.733345014,-0.675844132,-0.651641892,-0.502867895,-0.48639278,-0.282122093,Marruecos,afmar
,,,,,,,,,-1.351514205,-1.348848241,-1.336667029,-1.625393151,-1.194138678,-1.155534181,-1.218563769,-0.970942577,-0.996350154,-0.826041966,-1.023558357,-1.155336647,-1.202259,-1.33908801,-1.31947793,Mauritania,afmrt
0.387317666,0.468291288,0.600451712,0.696599672,0.745685885,0.811606061,0.887787422,0.872755865,0.84565984,0.885855159,0.985618047,0.978740543,0.997728028,1.088153284,1.102342589,1.145342185,1.12258906,1.15371368,1.187800128,1.197801918,1.163900578,1.152926712,1.152208221,1.090937521,México,namex
